kW,HP,FLC_Star,FLC_Delta,MPCB_Schneider_Model,MPCB_Schneider_Range,MPCB_Schneider_Next_Model,MPCB_Schneider_Next_Range,MPCB_ABB_Model,MPCB_ABB_Range,Contactor_ABB,Contactor_ABB_Amp,Contactor_Siemens,Contactor_Siemens_Amp,Contactor_L&T,Contactor_L&T_Amp,Cable_Al,Cable_Cu,Cable_Gland,Bearing_ABB_DE,Bearing_ABB_NDE,Bearing_Siemens_DE,Bearing_Siemens_NDE
41.44,55.57,74.59,129.19,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
41.81,56.07,75.26,130.35,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
42.18,56.56,75.92,131.49,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
42.55,57.06,76.59,132.65,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
42.92,57.56,77.26,133.81,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
43.29,58.05,77.92,134.96,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
43.66,58.55,78.59,136.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
44.03,59.04,79.25,137.26,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
44.4,59.54,79.92,138.42,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A75-30-11,80 A,3RT2066,80 A,MNX-80,80 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
44.77,60.04,80.59,139.58,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
45.14,60.53,81.25,140.72,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
45.51,61.03,81.92,141.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
45.88,61.53,82.58,143.03,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
46.25,62.02,83.25,144.19,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
46.62,62.52,83.92,145.35,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
46.99,63.01,84.58,146.49,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
47.36,63.51,85.25,147.65,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
47.73,64.01,85.91,148.8,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
48.1,64.5,86.58,149.96,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
48.47,65.0,87.25,151.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
48.84,65.49,87.91,152.26,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
49.21,65.99,88.58,153.42,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
49.58,66.49,89.24,154.56,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
49.95,66.98,89.91,155.72,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
50.32,67.48,90.58,156.88,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
50.69,67.98,91.24,158.03,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
51.06,68.47,91.91,159.19,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
51.43,68.97,92.57,160.33,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
51.8,69.46,93.24,161.49,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
52.17,69.96,93.91,162.65,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
52.54,70.46,94.57,163.8,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
52.91,70.95,95.24,164.96,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
53.28,71.45,95.9,166.1,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
53.65,71.94,96.57,167.26,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
54.02,72.44,97.24,168.42,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
54.39,72.94,97.9,169.56,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
54.76,73.43,98.57,170.72,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
55.13,73.93,99.23,171.87,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
55.5,74.43,99.9,173.03,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
55.87,74.92,100.57,174.19,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
56.24,75.42,101.23,175.33,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
56.61,75.91,101.9,176.49,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
56.98,76.41,102.56,177.63,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
57.35,76.91,103.23,178.79,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
57.72,77.4,103.9,179.95,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
58.09,77.9,104.56,181.1,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
58.46,78.39,105.23,182.26,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
58.83,78.89,105.89,183.4,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
59.2,79.39,106.56,184.56,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
59.57,79.88,107.23,185.72,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
59.94,80.38,107.89,186.87,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
60.31,80.88,108.56,188.03,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
60.68,81.37,109.22,189.17,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
61.05,81.87,109.89,190.33,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
61.42,82.36,110.56,191.49,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
61.79,82.86,111.22,192.63,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
62.16,83.36,111.89,193.79,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
62.53,83.85,112.55,194.94,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
62.9,84.35,113.22,196.1,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
63.27,84.85,113.89,197.26,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
63.64,85.34,114.55,198.4,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
64.01,85.84,115.22,199.56,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
64.38,86.33,115.88,200.7,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
64.75,86.83,116.55,201.86,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
65.12,87.33,117.22,203.03,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
65.49,87.82,117.88,204.17,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
65.86,88.32,118.55,205.33,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
66.23,88.81,119.21,206.47,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
66.6,89.31,119.88,207.63,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
66.97,89.81,120.55,208.79,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
67.34,90.3,121.21,209.94,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
67.71,90.8,121.88,211.1,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
68.08,91.3,122.54,212.24,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
68.45,91.79,123.21,213.4,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
68.82,92.29,123.88,214.56,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
69.19,92.78,124.54,215.7,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
69.56,93.28,125.21,216.86,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
69.93,93.78,125.87,218.01,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
70.3,94.27,126.54,219.17,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
70.67,94.77,127.21,220.33,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
71.04,95.26,127.87,221.47,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
71.41,95.76,128.54,222.63,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
71.78,96.26,129.2,223.77,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
72.15,96.75,129.87,224.93,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
72.52,97.25,130.54,226.1,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
72.89,97.75,131.2,227.24,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
73.26,98.24,131.87,228.4,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
73.63,98.74,132.53,229.54,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
74.0,99.23,133.2,230.7,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
74.37,99.73,133.87,231.86,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
74.74,100.23,134.53,233.01,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
75.11,100.72,135.2,234.17,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
75.48,101.22,135.86,235.31,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
75.85,101.71,136.53,236.47,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
76.22,102.21,137.2,237.63,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
76.59,102.71,137.86,238.77,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
76.96,103.2,138.53,239.93,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
77.33,103.7,139.19,241.08,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
77.7,104.2,139.86,242.24,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
78.07,104.69,140.53,243.4,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
78.44,105.19,141.19,244.54,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
78.81,105.68,141.86,245.7,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
79.18,106.18,142.52,246.84,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
79.55,106.68,143.19,248.01,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
79.92,107.17,143.86,249.17,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
80.29,107.67,144.52,250.31,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
80.66,108.17,145.19,251.47,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
81.03,108.66,145.85,252.61,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
81.4,109.16,146.52,253.77,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
81.77,109.65,147.19,254.93,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
82.14,110.15,147.85,256.08,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
82.51,110.65,148.52,257.24,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
82.88,111.14,149.18,258.38,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
83.25,111.64,149.85,259.54,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
